AND,0.190,0.51,0,26
OF,0.510,0.67,1,26
HER,0.670,0.82,2,26
UNITY,0.820,1.45,3,26
AT,1.450,1.64,4,26
THE,1.640,1.72,5,26
CONTACT,1.720,2.41,6,26
OF,2.410,2.57,7,26
MEN,2.570,2.86,8,26
AND,2.860,3.06,9,26
THINGS,3.060,3.66,10,26
AS,4.520,4.79,11,26
FOR,4.790,4.96,12,26
ME,4.960,5.39,13,26
AND,5.982,6.152,14,26
DIDN'T,6.522,6.362,15,26
HE,6.732,6.482,16,26
EVER,6.852,6.632,17,26
COME,7.002,6.862,18,26
BACK,7.232,7.112,19,26
SAID,7.692,7.642,20,26
NED,8.012,7.992,21,26
NAW,8.822,8.712,22,26
SUH,9.082,9.152,23,26
DAT,9.692,9.552,24,26
HE,9.922,9.672,25,26
