randomise_blocks,randomise_trials,display,sound,hc_ans,sound_nc_1,sound_nc_3,sound_nc_2,sound_c_1,sound_c_2,sound_c_3,progress,answer
,,instructions,,,,,,,,,,
,,volume_calibration,LS_4898_20016_0022_SWT_LS_4898_28461_0044_tChange_5997_ms.wav
,,headphone_check,antiphase_HC_IOS.mp3,3
,,headphone_check,antiphase_HC_ISO.mp3,2
,,headphone_check,antiphase_HC_OIS.mp3,3
,,rt_noise,noise_tone_F0_500_Hz_3_tChange_4632.wav,
,,trials,noise_tone_F0_500_Hz_2_tChange_3044.wav,,,,,,,,,1
,,trials,noise_tone_F0_500_Hz_4_tChange_4142.wav,,,,,,,,,1
,,trials,noise_tone_F0_500_Hz_3_tChange_4632.wav,,,,,,,,,1
,,trials,noise_tone_F0_500_Hz_1_tChange_3834.wav,,,,,,,,,1
,,trials,noise_tone_F0_500_Hz_5_tChange_3806.wav,,,,,,,,,1
,,trials,noise_tone_F0_500_Hz_2_tChange_3044.wav,,,,,,,,,1
,,trials,noise_tone_F0_500_Hz_4_tChange_4142.wav,,,,,,,,,1
,,trials,noise_tone_F0_500_Hz_3_tChange_4632.wav,,,,,,,,,1
,,trials,noise_tone_F0_500_Hz_1_tChange_3834.wav,,,,,,,,,1
,,trials,noise_tone_F0_500_Hz_5_tChange_3806.wav,,,,,,,,,1
,,trials,noise_tone_F0_500_Hz_2_tChange_3044.wav,,,,,,,,,1
,,trials,noise_tone_F0_500_Hz_4_tChange_4142.wav,,,,,,,,,1
,,trials,noise_tone_F0_500_Hz_3_tChange_4632.wav,,,,,,,,,1
,,trials,noise_tone_F0_500_Hz_1_tChange_3834.wav,,,,,,,,,1
,,trials,noise_tone_F0_500_Hz_5_tChange_3806.wav,,,,,,,,,1
,,rt_tone,tone_tone_F0_500_Hz_Delta_25_4_tChange_4756.wav,
,,trials,tone_tone_F0_500_Hz_Delta_10_2_tChange_3372.wav,,,,,,,,,1
,,trials,tone_tone_F0_500_Hz_Delta_10_3_tChange_3691.wav,,,,,,,,,1
,,trials,tone_tone_F0_500_Hz_Delta_25_4_tChange_4756.wav,,,,,,,,,1
,,trials,tone_tone_F0_500_Hz_Delta_100_5_tChange_4752.wav,,,,,,,,,1
,,trials,tone_tone_F0_500_Hz_Delta_10_4_tChange_3793.wav,,,,,,,,,1
,,trials,tone_tone_F0_500_Hz_Delta_0_3_tChange_3000.wav,,,,,,,,,0
,,trials,tone_tone_F0_500_Hz_Delta_25_2_tChange_4370.wav,,,,,,,,,1
,,trials,tone_tone_F0_500_Hz_Delta_50_4_tChange_3280.wav,,,,,,,,,1
,,trials,tone_tone_F0_500_Hz_Delta_50_3_tChange_4117.wav,,,,,,,,,1
,,trials,tone_tone_F0_500_Hz_Delta_25_3_tChange_3408.wav,,,,,,,,,1
,,trials,tone_tone_F0_500_Hz_Delta_25_1_tChange_3838.wav,,,,,,,,,1
,,trials,tone_tone_F0_500_Hz_Delta_100_4_tChange_4384.wav,,,,,,,,,1
,,trials,tone_tone_F0_500_Hz_Delta_25_5_tChange_3054.wav,,,,,,,,,1
,,trials,tone_tone_F0_500_Hz_Delta_50_5_tChange_3396.wav,,,,,,,,,1
,,trials,tone_tone_F0_500_Hz_Delta_100_2_tChange_4936.wav,,,,,,,,,1
,,trials,tone_tone_F0_500_Hz_Delta_0_2_tChange_4440.wav,,,,,,,,,0
,,trials,tone_tone_F0_500_Hz_Delta_50_2_tChange_3834.wav,,,,,,,,,1
,,trials,tone_tone_F0_500_Hz_Delta_0_5_tChange_3293.wav,,,,,,,,,0
,,trials,tone_tone_F0_500_Hz_Delta_50_1_tChange_4340.wav,,,,,,,,,1
,,trials,tone_tone_F0_500_Hz_Delta_100_3_tChange_3626.wav,,,,,,,,,1
,,trials,tone_tone_F0_500_Hz_Delta_100_1_tChange_4601.wav,,,,,,,,,1
,,trials,tone_tone_F0_500_Hz_Delta_10_1_tChange_3184.wav,,,,,,,,,1
,,trials,tone_tone_F0_500_Hz_Delta_0_4_tChange_3604.wav,,,,,,,,,0
,,trials,tone_tone_F0_500_Hz_Delta_10_5_tChange_4077.wav,,,,,,,,,1
,,trials,tone_tone_F0_500_Hz_Delta_0_1_tChange_3834.wav,,,,,,,,,0
,,trials,tone_tone_F0_500_Hz_Delta_10_2_tChange_3372.wav,,,,,,,,,1
,,trials,tone_tone_F0_500_Hz_Delta_10_3_tChange_3691.wav,,,,,,,,,1
,,trials,tone_tone_F0_500_Hz_Delta_25_4_tChange_4756.wav,,,,,,,,,1
,,trials,tone_tone_F0_500_Hz_Delta_100_5_tChange_4752.wav,,,,,,,,,1
,,trials,tone_tone_F0_500_Hz_Delta_10_4_tChange_3793.wav,,,,,,,,,1
,,trials,tone_tone_F0_500_Hz_Delta_0_3_tChange_3000.wav,,,,,,,,,0
,,trials,tone_tone_F0_500_Hz_Delta_25_2_tChange_4370.wav,,,,,,,,,1
,,trials,tone_tone_F0_500_Hz_Delta_50_4_tChange_3280.wav,,,,,,,,,1
,,trials,tone_tone_F0_500_Hz_Delta_50_3_tChange_4117.wav,,,,,,,,,1
,,trials,tone_tone_F0_500_Hz_Delta_25_3_tChange_3408.wav,,,,,,,,,1
,,trials,tone_tone_F0_500_Hz_Delta_25_1_tChange_3838.wav,,,,,,,,,1
,,trials,tone_tone_F0_500_Hz_Delta_100_4_tChange_4384.wav,,,,,,,,,1
,,trials,tone_tone_F0_500_Hz_Delta_25_5_tChange_3054.wav,,,,,,,,,1
,,trials,tone_tone_F0_500_Hz_Delta_50_5_tChange_3396.wav,,,,,,,,,1
,,trials,tone_tone_F0_500_Hz_Delta_100_2_tChange_4936.wav,,,,,,,,,1
,,trials,tone_tone_F0_500_Hz_Delta_0_2_tChange_4440.wav,,,,,,,,,0
,,trials,tone_tone_F0_500_Hz_Delta_50_2_tChange_3834.wav,,,,,,,,,1
,,trials,tone_tone_F0_500_Hz_Delta_0_5_tChange_3293.wav,,,,,,,,,0
,,trials,tone_tone_F0_500_Hz_Delta_50_1_tChange_4340.wav,,,,,,,,,1
,,trials,tone_tone_F0_500_Hz_Delta_100_3_tChange_3626.wav,,,,,,,,,1
,,trials,tone_tone_F0_500_Hz_Delta_100_1_tChange_4601.wav,,,,,,,,,1
,,trials,tone_tone_F0_500_Hz_Delta_10_1_tChange_3184.wav,,,,,,,,,1
,,trials,tone_tone_F0_500_Hz_Delta_0_4_tChange_3604.wav,,,,,,,,,0
,,trials,tone_tone_F0_500_Hz_Delta_10_5_tChange_4077.wav,,,,,,,,,1
,,trials,tone_tone_F0_500_Hz_Delta_0_1_tChange_3834.wav,,,,,,,,,0
,,trials,tone_tone_F0_500_Hz_Delta_10_2_tChange_3372.wav,,,,,,,,,1
,,trials,tone_tone_F0_500_Hz_Delta_10_3_tChange_3691.wav,,,,,,,,,1
,,trials,tone_tone_F0_500_Hz_Delta_25_4_tChange_4756.wav,,,,,,,,,1
,,trials,tone_tone_F0_500_Hz_Delta_100_5_tChange_4752.wav,,,,,,,,,1
,,trials,tone_tone_F0_500_Hz_Delta_10_4_tChange_3793.wav,,,,,,,,,1
,,trials,tone_tone_F0_500_Hz_Delta_0_3_tChange_3000.wav,,,,,,,,,0
,,trials,tone_tone_F0_500_Hz_Delta_25_2_tChange_4370.wav,,,,,,,,,1
,,trials,tone_tone_F0_500_Hz_Delta_50_4_tChange_3280.wav,,,,,,,,,1
,,trials,tone_tone_F0_500_Hz_Delta_50_3_tChange_4117.wav,,,,,,,,,1
,,trials,tone_tone_F0_500_Hz_Delta_25_3_tChange_3408.wav,,,,,,,,,1
,,trials,tone_tone_F0_500_Hz_Delta_25_1_tChange_3838.wav,,,,,,,,,1
,,trials,tone_tone_F0_500_Hz_Delta_100_4_tChange_4384.wav,,,,,,,,,1
,,trials,tone_tone_F0_500_Hz_Delta_25_5_tChange_3054.wav,,,,,,,,,1
,,trials,tone_tone_F0_500_Hz_Delta_50_5_tChange_3396.wav,,,,,,,,,1
,,trials,tone_tone_F0_500_Hz_Delta_100_2_tChange_4936.wav,,,,,,,,,1
,,trials,tone_tone_F0_500_Hz_Delta_0_2_tChange_4440.wav,,,,,,,,,0
,,trials,tone_tone_F0_500_Hz_Delta_50_2_tChange_3834.wav,,,,,,,,,1
,,trials,tone_tone_F0_500_Hz_Delta_0_5_tChange_3293.wav,,,,,,,,,0
,,trials,tone_tone_F0_500_Hz_Delta_50_1_tChange_4340.wav,,,,,,,,,1
,,trials,tone_tone_F0_500_Hz_Delta_100_3_tChange_3626.wav,,,,,,,,,1
,,trials,tone_tone_F0_500_Hz_Delta_100_1_tChange_4601.wav,,,,,,,,,1
,,trials,tone_tone_F0_500_Hz_Delta_10_1_tChange_3184.wav,,,,,,,,,1
,,trials,tone_tone_F0_500_Hz_Delta_0_4_tChange_3604.wav,,,,,,,,,0
,,trials,tone_tone_F0_500_Hz_Delta_10_5_tChange_4077.wav,,,,,,,,,1
,,trials,tone_tone_F0_500_Hz_Delta_0_1_tChange_3834.wav,,,,,,,,,0
,,rt_speech_train,,,LS_4898_20016_0022_SWT_LS_4898_28461_0044_tChange_5997_ms.wav,LS_5322_7680_0013_SWT_LS_5322_7679_0005_tChange_5503_ms.wav,LS_8425_287387_0001_SWT_LS_8425_246962_0030_tChange_6073_ms.wav,LS_8425_246962_0030_SWT_LS_5322_7680_0024_tChange_5481_ms.wav,LS_4898_28461_0014_SWT_LS_5322_7679_0005_tChange_6171_ms.wav,LS_5322_7679_0005_SWT_LS_8425_287387_0030_tChange_5313_ms.wav,
,,trials,LS_4898_20016_0022_SWT_LS_4898_28461_0044_tChange_5997_ms.wav,,,,,,,,,0
,,trials,LS_4898_28461_0014_SWT_LS_5322_7679_0005_tChange_6171_ms.wav,,,,,,,,,1
,,trials,LS_5322_7678_0001_SWT_LS_4898_20016_0022_tChange_5669_ms.wav,,,,,,,,,1
,,trials,LS_5322_7680_0013_SWT_LS_5322_7679_0005_tChange_5503_ms.wav,,,,,,,,,0
,,rt_speech_test,,
,1,trials,LS_2843_152918_0012_SWT_LS_2843_152918_0058_tChange_5808_ms.wav,,,,,,,,1,0
,1,trials,LS_2843_152918_0018_SWT_LS_2843_152918_0100_tChange_5582_ms.wav,,,,,,,,1,0
,1,trials,LS_2843_152918_0049_SWT_LS_2843_152918_0016_tChange_6539_ms.wav,,,,,,,,1,0
,1,trials,LS_2843_152918_0054_SWT_LS_2843_152918_0113_tChange_5903_ms.wav,,,,,,,,1,0
,1,trials,LS_2843_152918_0095_SWT_LS_2843_152918_0023_tChange_6169_ms.wav,,,,,,,,1,0
,1,trials,LS_2843_152918_0097_SWT_LS_2843_152918_0028_tChange_6076_ms.wav,,,,,,,,1,0
,1,trials,LS_2843_152918_0099_SWT_LS_2843_152918_0103_tChange_5710_ms.wav,,,,,,,,1,0
,1,trials,LS_2843_152918_0107_SWT_LS_2843_152918_0026_tChange_5637_ms.wav,,,,,,,,1,0
,1,trials,LS_2843_152918_0009_SWT_LS_374_180299_0033_tChange_6129_ms.wav,,,,,,,,1,1
,1,trials,LS_2843_152918_0013_SWT_LS_374_180298_0015_tChange_6463_ms.wav,,,,,,,,1,1
,1,trials,LS_2843_152918_0022_SWT_LS_374_180299_0042_tChange_5631_ms.wav,,,,,,,,1,1
,1,trials,LS_2843_152918_0046_SWT_LS_374_180298_0059_tChange_6271_ms.wav,,,,,,,,1,1
,1,trials,LS_2843_152918_0051_SWT_LS_374_180298_0037_tChange_5631_ms.wav,,,,,,,,1,1
,1,trials,LS_2843_152918_0068_SWT_LS_374_180298_0010_tChange_5820_ms.wav,,,,,,,,1,1
,1,trials,LS_2843_152918_0083_SWT_LS_374_180299_0004_tChange_6124_ms.wav,,,,,,,,1,1
,1,trials,LS_2843_152918_0088_SWT_LS_374_180299_0037_tChange_6702_ms.wav,,,,,,,,1,1
,1,trials,LS_2843_152918_0016_SWT_LS_5456_62043_0017_tChange_5837_ms.wav,,,,,,,,1,1
,1,trials,LS_2843_152918_0023_SWT_LS_5456_62043_0002_tChange_5959_ms.wav,,,,,,,,1,1
,1,trials,LS_2843_152918_0026_SWT_LS_5456_62014_0011_tChange_5528_ms.wav,,,,,,,,1,1
,1,trials,LS_2843_152918_0028_SWT_LS_5456_58161_0003_tChange_5786_ms.wav,,,,,,,,1,1
,1,trials,LS_2843_152918_0058_SWT_LS_5456_58161_0022_tChange_6571_ms.wav,,,,,,,,1,1
,1,trials,LS_2843_152918_0100_SWT_LS_5456_62014_0012_tChange_5549_ms.wav,,,,,,,,1,1
,1,trials,LS_2843_152918_0103_SWT_LS_5456_62043_0022_tChange_7301_ms.wav,,,,,,,,1,1
,1,trials,LS_2843_152918_0113_SWT_LS_5456_62014_0017_tChange_5560_ms.wav,,,,,,,,1,1
,1,trials,LS_2843_152918_0001_SWT_LS_7447_91187_0030_tChange_5253_ms.wav,,,,,,,,1,1
,,break,,
,1,trials,LS_2843_152918_0010_SWT_LS_7447_91187_0061_tChange_5998_ms.wav,,,,,,,,1,1
,1,trials,LS_2843_152918_0025_SWT_LS_7447_91186_0038_tChange_5754_ms.wav,,,,,,,,1,1
,1,trials,LS_2843_152918_0035_SWT_LS_7447_91187_0005_tChange_6415_ms.wav,,,,,,,,1,1
,1,trials,LS_2843_152918_0061_SWT_LS_7447_91187_0009_tChange_6039_ms.wav,,,,,,,,1,1
,1,trials,LS_2843_152918_0062_SWT_LS_7447_91187_0057_tChange_6003_ms.wav,,,,,,,,1,1
,1,trials,LS_2843_152918_0081_SWT_LS_7447_91187_0036_tChange_6102_ms.wav,,,,,,,,1,1
,1,trials,LS_2843_152918_0089_SWT_LS_7447_91187_0027_tChange_6837_ms.wav,,,,,,,,1,1
,1,trials,LS_2843_152918_0002_SWT_LS_7505_83618_0010_tChange_5893_ms.wav,,,,,,,,1,1
,1,trials,LS_2843_152918_0004_SWT_LS_7505_83618_0024_tChange_5234_ms.wav,,,,,,,,1,1
,1,trials,LS_2843_152918_0011_SWT_LS_7505_83618_0015_tChange_6339_ms.wav,,,,,,,,1,1
,1,trials,LS_2843_152918_0015_SWT_LS_7505_258958_0035_tChange_5260_ms.wav,,,,,,,,1,1
,1,trials,LS_2843_152918_0029_SWT_LS_7505_258964_0019_tChange_6245_ms.wav,,,,,,,,1,1
,1,trials,LS_2843_152918_0060_SWT_LS_7505_83618_0007_tChange_5905_ms.wav,,,,,,,,1,1
,1,trials,LS_2843_152918_0096_SWT_LS_7505_83618_0005_tChange_5821_ms.wav,,,,,,,,1,1
,1,trials,LS_2843_152918_0106_SWT_LS_7505_83618_0016_tChange_5674_ms.wav,,,,,,,,1,1
,1,trials,LS_374_180298_0011_SWT_LS_2843_152918_0113_tChange_6006_ms.wav,,,,,,,,1,1
,1,trials,LS_374_180298_0028_SWT_LS_2843_152918_0058_tChange_5627_ms.wav,,,,,,,,1,1
,1,trials,LS_374_180298_0040_SWT_LS_2843_152918_0103_tChange_8598_ms.wav,,,,,,,,1,1
,1,trials,LS_374_180298_0055_SWT_LS_2843_152918_0100_tChange_9911_ms.wav,,,,,,,,1,1
