Event Index,UTC Timestamp,UTC Date,Post Processed,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,Spreadsheet Name,randomise_blocks,randomise_trials,display,sound,hc_ans,sound_nc_1,sound_nc_3,sound_nc_2,sound_c_1,sound_c_2,sound_c_3,progress,answer
1,1511276614869,21/11/2017 15:03:34,,1511276632699,-5,21/11/2017 10:03:52,2349,3,task-o4po,,888997,CMU_13,186949,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,RT_test,5,BEGIN TASK,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,
2,1511276635102,21/11/2017 15:03:55,,1511276652951,-5,21/11/2017 10:04:12,2349,3,task-o4po,,888997,CMU_13,186949,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,RT_test,5,1,1,Screen 1,Zone2,continue_button,20189.519999999997,,,0,1,0,,,,rt_test_v2,,,instructions,,,,,,,,,,
3,1511276661489,21/11/2017 15:04:21,,1511276678907,-5,21/11/2017 10:04:38,2349,3,task-o4po,,888997,CMU_13,186949,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,RT_test,5,1,1,Screen 1,Zone3,continue_button,25926.035000000003,,,0,1,0,,,,rt_test_v2,,,volume_calibration,LS_4898_20016_0022_SWT_LS_4898_28461_0044_tChange_5997_ms.wav,,,,,,,,,
4,1511276661598,21/11/2017 15:04:21,,1511276679446,-5,21/11/2017 10:04:39,2349,3,task-o4po,,888997,CMU_13,186949,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,RT_test,5,1,1,Screen 2,fixation,fixation,548.8987044622409,,,0,1,0,,,,rt_test_v2,,,headphone_check,antiphase_HC_IOS.mp3,3,,,,,,,,
5,1511276678762,21/11/2017 15:04:38,,1511276696618,-5,21/11/2017 10:04:56,2349,3,task-o4po,,888997,CMU_13,186949,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,RT_test,5,1,2,Screen 1,Zone3,response_rating_scale_likert_active,17152.175000000003,3,1,1,0,0,,,,rt_test_v2,,,headphone_check,antiphase_HC_IOS.mp3,3,,,,,,,,
6,1511276679315,21/11/2017 15:04:39,,1511276697157,-5,21/11/2017 10:04:57,2349,3,task-o4po,,888997,CMU_13,186949,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,RT_test,5,2,1,Screen 2,fixation,fixation,549.8170454373903,,,0,1,0,,,,rt_test_v2,,,headphone_check,antiphase_HC_ISO.mp3,2,,,,,,,,
7,1511276688101,21/11/2017 15:04:48,,1511276705944,-5,21/11/2017 10:05:05,2349,3,task-o4po,,888997,CMU_13,186949,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,RT_test,5,2,2,Screen 1,Zone3,response_rating_scale_likert_active,8764.589999999997,2,1,1,0,0,,,,rt_test_v2,,,headphone_check,antiphase_HC_ISO.mp3,2,,,,,,,,
8,1511276688633,21/11/2017 15:04:48,,1511276706487,-5,21/11/2017 10:05:06,2349,3,task-o4po,,888997,CMU_13,186949,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,RT_test,5,3,1,Screen 2,fixation,fixation,549.7927088269789,,,0,1,0,,,,rt_test_v2,,,headphone_check,antiphase_HC_OIS.mp3,3,,,,,,,,
9,1511276695024,21/11/2017 15:04:55,,1511276712880,-5,21/11/2017 10:05:12,2349,3,task-o4po,,888997,CMU_13,186949,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,RT_test,5,3,2,Screen 1,Zone3,response_rating_scale_likert_active,6375.125,3,1,1,0,0,,,,rt_test_v2,,,headphone_check,antiphase_HC_OIS.mp3,3,,,,,,,,
10,1511276722177,21/11/2017 15:05:22,,1511276740046,-5,21/11/2017 10:05:40,2349,3,task-o4po,,888997,CMU_13,186949,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,RT_test,5,1,1,Screen 1,Zone2,continue_button,27135.839999999997,,,0,1,0,,,,rt_test_v2,,,rt_noise,noise_tone_F0_500_Hz_3_tChange_4632.wav,,,,,,,,,
