SID,HIT,MISS,FA
CMU_13,1.0000,0.0000,0.1300
CMU-14,0.9873,0.0127,0.0550
cmu_15,0.8993,0.1007,0.1050
CMU_16,0.9874,0.0126,0.0700
CMU_17,1.0000,0.0000,0.0150
iisc_01,0.9684,0.0316,0.0800
iisc_02,0.9682,0.0318,0.1100
iisc_03,0.9936,0.0064,0.1200
iisc_04,0.9613,0.0387,0.0700
iisc_05,0.9810,0.0190,0.1050
iisc_06,0.9872,0.0128,0.1050
iisc_07,0.9623,0.0377,0.0400
iisc_08,0.9686,0.0314,0.0600
iisc_09,0.9677,0.0323,0.1000
iisc_10,0.9796,0.0204,0.1350
iisc_11,0.9686,0.0314,0.0450
iisc_12,0.9745,0.0255,0.0700
