FNAME,TCHANGE,CWORDS,TWORDS,CWDUR,CWRATE
LS_2843_152918_0001_SWT_LS_7447_91187_0030_tChange_5253_ms,5253,12,19,3970,2.28
LS_2843_152918_0002_SWT_LS_7505_83618_0010_tChange_5893_ms,5893,19,27,5170,3.22
LS_2843_152918_0004_SWT_LS_7505_83618_0024_tChange_5234_ms,5234,17,27,3880,3.25
LS_2843_152918_0009_SWT_LS_374_180299_0033_tChange_6129_ms,6129,15,25,4740,2.45
LS_2843_152918_0010_SWT_LS_7447_91187_0061_tChange_5998_ms,5998,20,25,5360,3.33
LS_2843_152918_0011_SWT_LS_7505_83618_0015_tChange_6339_ms,6339,14,22,5000,2.21
LS_2843_152918_0012_SWT_LS_2843_152918_0058_tChange_5808_ms,5808,19,29,4750,3.27
LS_2843_152918_0013_SWT_LS_374_180298_0015_tChange_6463_ms,6463,20,30,5540,3.09
LS_2843_152918_0015_SWT_LS_7505_258958_0035_tChange_5260_ms,5260,14,24,4370,2.66
LS_2843_152918_0016_SWT_LS_5456_62043_0017_tChange_5837_ms,5837,15,26,4470,2.57
LS_2843_152918_0018_SWT_LS_2843_152918_0100_tChange_5582_ms,5582,14,25,4660,2.51
LS_2843_152918_0022_SWT_LS_374_180299_0042_tChange_5631_ms,5631,16,26,4560,2.84
LS_2843_152918_0023_SWT_LS_5456_62043_0002_tChange_5959_ms,5959,17,27,4889,2.85
LS_2843_152918_0025_SWT_LS_7447_91186_0038_tChange_5754_ms,5754,15,25,4840,2.61
LS_2843_152918_0026_SWT_LS_5456_62014_0011_tChange_5528_ms,5528,18,33,3930,3.26
LS_2843_152918_0028_SWT_LS_5456_58161_0003_tChange_5786_ms,5786,16,28,4670,2.77
LS_2843_152918_0029_SWT_LS_7505_258964_0019_tChange_6245_ms,6245,18,28,4880,2.88
LS_2843_152918_0035_SWT_LS_7447_91187_0005_tChange_6415_ms,6415,19,28,5730,2.96
LS_2843_152918_0046_SWT_LS_374_180298_0059_tChange_6271_ms,6271,18,30,5330,2.87
LS_2843_152918_0049_SWT_LS_2843_152918_0016_tChange_6539_ms,6539,17,28,5480,2.60
LS_2843_152918_0051_SWT_LS_374_180298_0037_tChange_5631_ms,5631,17,31,4790,3.02
LS_2843_152918_0054_SWT_LS_2843_152918_0113_tChange_5903_ms,5903,16,26,5230,2.71
LS_2843_152918_0058_SWT_LS_5456_58161_0022_tChange_6571_ms,6571,21,34,5150,3.20
LS_2843_152918_0060_SWT_LS_7505_83618_0007_tChange_5905_ms,5905,16,21,5200,2.71
LS_2843_152918_0061_SWT_LS_7447_91187_0009_tChange_6039_ms,6039,17,27,5580,2.82
LS_2843_152918_0062_SWT_LS_7447_91187_0057_tChange_6003_ms,6003,16,28,4740,2.67
LS_2843_152918_0068_SWT_LS_374_180298_0010_tChange_5820_ms,5820,16,32,4720,2.75
LS_2843_152918_0081_SWT_LS_7447_91187_0036_tChange_6102_ms,6102,20,28,4940,3.28
LS_2843_152918_0083_SWT_LS_374_180299_0004_tChange_6124_ms,6124,16,24,4770,2.61
LS_2843_152918_0088_SWT_LS_374_180299_0037_tChange_6702_ms,6702,16,28,4990,2.39
LS_2843_152918_0089_SWT_LS_7447_91187_0027_tChange_6837_ms,6837,21,30,5850,3.07
LS_2843_152918_0095_SWT_LS_2843_152918_0023_tChange_6169_ms,6169,19,29,5480,3.08
LS_2843_152918_0096_SWT_LS_7505_83618_0005_tChange_5821_ms,5821,13,22,5110,2.23
LS_2843_152918_0097_SWT_LS_2843_152918_0028_tChange_6076_ms,6076,13,23,5020,2.14
LS_2843_152918_0099_SWT_LS_2843_152918_0103_tChange_5710_ms,5710,16,26,4760,2.80
LS_2843_152918_0100_SWT_LS_5456_62014_0012_tChange_5549_ms,5549,16,30,4921,2.88
LS_2843_152918_0103_SWT_LS_5456_62043_0022_tChange_7301_ms,7301,18,31,5650,2.47
LS_2843_152918_0106_SWT_LS_7505_83618_0016_tChange_5674_ms,5674,17,25,5380,3.00
LS_2843_152918_0107_SWT_LS_2843_152918_0026_tChange_5637_ms,5637,16,28,4120,2.84
LS_2843_152918_0113_SWT_LS_5456_62014_0017_tChange_5560_ms,5560,15,25,4480,2.70
LS_374_180298_0002_SWT_LS_5456_62043_0002_tChange_5408_ms,5408,18,28,4610,3.33
LS_374_180298_0005_SWT_LS_7505_83618_0005_tChange_6027_ms,6027,15,24,5240,2.49
