SID,meanRT_ms,stdRT_ms,FALSE_HITs,OUTLIER_HITs
CMU_13,478.22,208.63,5,24
CMU-14,755.17,252.35,1,33
cmu_15,776.92,375.55,7,45
CMU_16,621.26,288.56,0,29
CMU_17,577.55,181.93,0,37
iisc_01,608.72,243.02,4,31
iisc_02,883.72,308.67,1,30
iisc_03,698.77,264.27,3,21
iisc_04,846.12,325.41,6,38
iisc_05,560.47,215.78,4,27
iisc_06,616.29,209.26,7,26
iisc_07,785.01,253.53,1,39
iisc_08,664.88,241.36,5,35
iisc_09,649.31,252.13,6,32
iisc_10,572.48,333.12,6,29
iisc_11,793.71,308.17,1,38
iisc_12,665.21,249.38,4,33
