SID,meanRT_ms,stdRT_ms,medRT_ms
CMU_13,311.15,19.88,310.05
CMU-14,256.16,20.94,250.83
cmu_15,325.25,158.32,266.94
CMU_16,311.61,45.12,305.16
CMU_17,276.53,29.99,270.92
iisc_01,291.90,32.18,279.80
iisc_02,338.22,84.09,319.58
iisc_03,241.76,14.60,236.52
iisc_04,269.30,39.27,248.85
iisc_05,279.54,46.43,281.97
iisc_06,308.11,53.16,307.15
iisc_07,264.67,37.13,255.89
iisc_08,280.66,60.89,263.58
iisc_09,238.00,0.00,238.00
iisc_10,288.40,43.04,280.00
iisc_11,320.00,0.00,320.00
iisc_12,247.00,13.49,253.00
