SUB_ID,FILE_ID,RT_MS,SAME_SPEAKER,RESPONSE,LABEL
CMU_13,LS_2843_152918_0001_SWT_LS_7447_91187_0030_tChange_5253_ms_rstamp_6033_ms_flag_1_lid_CMU_13,780,0,1,3,
CMU_13,LS_2843_152918_0002_SWT_LS_7505_83618_0010_tChange_5893_ms_rstamp_6382_ms_flag_1_lid_CMU_13,489,0,1,3,
CMU_13,LS_2843_152918_0004_SWT_LS_7505_83618_0024_tChange_5234_ms_rstamp_5522_ms_flag_1_lid_CMU_13,288,0,1,3,
CMU_13,LS_2843_152918_0009_SWT_LS_374_180299_0033_tChange_6129_ms_rstamp_6677_ms_flag_1_lid_CMU_13,548,0,1,3,
CMU_13,LS_2843_152918_0010_SWT_LS_7447_91187_0061_tChange_5998_ms_rstamp_6323_ms_flag_1_lid_CMU_13,325,0,1,3,
CMU_13,LS_2843_152918_0011_SWT_LS_7505_83618_0015_tChange_6339_ms_rstamp_6776_ms_flag_1_lid_CMU_13,437,0,1,3,
CMU_13,LS_2843_152918_0012_SWT_LS_2843_152918_0058_tChange_5808_ms_rstamp_0_ms_flag_1_lid_CMU_13,-5808,1,1,0,
CMU_13,LS_2843_152918_0013_SWT_LS_374_180298_0015_tChange_6463_ms_rstamp_6823_ms_flag_1_lid_CMU_13,360,0,1,3,
CMU_13,LS_2843_152918_0015_SWT_LS_7505_258958_0035_tChange_5260_ms_rstamp_6036_ms_flag_1_lid_CMU_13,776,0,1,3,
CMU_13,LS_2843_152918_0016_SWT_LS_5456_62043_0017_tChange_5837_ms_rstamp_6449_ms_flag_1_lid_CMU_13,612,0,1,3,
CMU_13,LS_2843_152918_0018_SWT_LS_2843_152918_0100_tChange_5582_ms_rstamp_0_ms_flag_1_lid_CMU_13,-5582,1,1,0,
CMU_13,LS_2843_152918_0022_SWT_LS_374_180299_0042_tChange_5631_ms_rstamp_5561_ms_flag_0_lid_CMU_13,-70,0,0,1,
CMU_13,LS_2843_152918_0023_SWT_LS_5456_62043_0002_tChange_5959_ms_rstamp_6298_ms_flag_1_lid_CMU_13,339,0,1,3,
CMU_13,LS_2843_152918_0025_SWT_LS_7447_91186_0038_tChange_5754_ms_rstamp_6290_ms_flag_1_lid_CMU_13,536,0,1,3,
CMU_13,LS_2843_152918_0026_SWT_LS_5456_62014_0011_tChange_5528_ms_rstamp_5970_ms_flag_1_lid_CMU_13,442,0,1,3,
CMU_13,LS_2843_152918_0028_SWT_LS_5456_58161_0003_tChange_5786_ms_rstamp_6320_ms_flag_1_lid_CMU_13,534,0,1,3,
CMU_13,LS_2843_152918_0029_SWT_LS_7505_258964_0019_tChange_6245_ms_rstamp_6827_ms_flag_1_lid_CMU_13,582,0,1,3,
CMU_13,LS_2843_152918_0035_SWT_LS_7447_91187_0005_tChange_6415_ms_rstamp_6873_ms_flag_1_lid_CMU_13,458,0,1,3,
CMU_13,LS_2843_152918_0046_SWT_LS_374_180298_0059_tChange_6271_ms_rstamp_6934_ms_flag_1_lid_CMU_13,663,0,1,3,
