SID,RTms,fbank_avg_dist,SAME_SPEAKER,RESPONSE,LABEL
CMU_13,780,8.010237,0,1,3
CMU_13,489,13.369484,0,1,3
CMU_13,288,17.632346,0,1,3
CMU_13,548,18.287740,0,1,3
CMU_13,325,10.017826,0,1,3
CMU_13,437,17.509800,0,1,3
CMU_13,-5808,1000.000000,1,1,0
CMU_13,360,21.028169,0,1,3
CMU_13,776,7.314114,0,1,3
CMU_13,612,19.410045,0,1,3
CMU_13,-5582,1000.000000,1,1,0
CMU_13,-70,1000.000000,0,0,1
CMU_13,339,15.102967,0,1,3
CMU_13,536,10.316908,0,1,3
CMU_13,442,13.484064,0,1,3
CMU_13,534,17.715994,0,1,3
CMU_13,582,15.426300,0,1,3
CMU_13,458,12.594972,0,1,3
CMU_13,663,12.411728,0,1,3
CMU_13,-6539,1000.000000,1,1,0
CMU_13,532,10.426516,0,1,3
CMU_13,-5903,1000.000000,1,1,0
CMU_13,353,17.236953,0,1,3
CMU_13,359,12.402131,0,1,3
CMU_13,375,7.289600,0,1,3
CMU_13,629,7.542747,0,1,3
CMU_13,778,11.204273,0,1,3
CMU_13,205,1000.000000,0,0,1
CMU_13,653,11.594915,0,1,3
CMU_13,396,15.862034,0,1,3
CMU_13,376,12.004913,0,1,3
CMU_13,-6169,1000.000000,1,1,0
CMU_13,648,12.825516,0,1,3
CMU_13,-6076,1000.000000,1,1,0
CMU_13,685,5.407085,1,0,1
CMU_13,334,18.661834,0,1,3
CMU_13,826,18.327594,0,1,3
CMU_13,321,8.832911,0,1,3
CMU_13,81,1000.000000,1,0,1
CMU_13,364,14.994295,0,1,3
CMU_13,444,10.272985,0,1,3
CMU_13,378,14.627217,0,1,3
CMU_13,221,1000.000000,0,0,1
CMU_13,285,12.021131,0,1,3
CMU_13,645,9.874762,0,1,3
CMU_13,-6529,1000.000000,1,1,0
CMU_13,482,8.862181,0,1,3
CMU_13,442,16.378156,0,1,3
CMU_13,-4485,1000.000000,1,0,1
CMU_13,299,13.619695,0,1,3
CMU_13,266,14.585457,0,1,3
