ID	 mu-F0	 std-F0	
2691	 152	 31	
5561	 152	 34	
2092	 158	 36	
8324	 162	 53	
1263	 165	 30	
5867	 166	 35	
322	 167	 46	
6531	 167	 34	
5339	 168	 28	
730	 170	 23	
696	 171	 46	
6064	 171	 61	
7517	 173	 35	
7635	 173	 35	
1963	 173	 28	
426	 173	 35	
6415	 174	 53	
2416	 174	 27	
669	 176	 36	
3947	 178	 41	
5789	 181	 35	
3982	 181	 50	
6272	 181	 42	
3440	 182	 55	
8123	 184	 46	
1841	 185	 38	
7078	 185	 37	
250	 187	 46	
4195	 188	 34	
2182	 189	 56	
302	 191	 33	
6078	 192	 44	
89	 194	 56	
8468	 195	 38	
32	 195	 45	
4640	 196	 36	
4137	 196	 76	
3983	 196	 50	
1502	 198	 31	
298	 198	 34	
4680	 198	 40	
248	 198	 34	
2196	 199	 30	
1088	 199	 38	
7859	 200	 42	
4051	 200	 34	
403	 200	 52	
1578	 200	 45	
4362	 200	 33	
19	 201	 43	
587	 201	 44	
1898	 201	 47	
1553	 201	 49	
1069	 202	 44	
8465	 202	 34	
3259	 202	 55	
7302	 202	 40	
7511	 203	 41	
8238	 204	 48	
887	 204	 48	
7780	 205	 38	
40	 206	 42	
5022	 206	 42	
5688	 206	 29	
8312	 207	 31	
150	 207	 55	
2764	 208	 28	
1970	 208	 39	
39	 209	 41	
7113	 209	 37	
5163	 209	 53	
7800	 209	 45	
6818	 211	 48	
3879	 211	 43	
6147	 212	 44	
3235	 214	 47	
200	 214	 55	
3112	 215	 34	
6476	 215	 29	
87	 216	 38	
4088	 216	 35	
2391	 217	 47	
2989	 217	 23	
4160	 217	 49	
7178	 218	 24	
1246	 218	 41	
125	 218	 44	
2007	 219	 47	
4340	 221	 51	
5652	 221	 47	
7794	 221	 37	
198	 222	 51	
211	 223	 35	
8975	 229	 54	
2836	 230	 42	
2817	 231	 38	
6385	 231	 45	
83	 242	 55	
