ID	 mu-F0	 std-F0	
7447	 101	 19	
8088	 101	 18	
2843	 102	 24	
625	 103	 14	
3664	 105	 22	
2289	 105	 22	
1081	 106	 16	
2159	 106	 20	
3699	 108	 24	
3723	 109	 22	
405	 110	 19	
3214	 110	 21	
7367	 110	 25	
831	 111	 31	
4813	 111	 31	
6880	 111	 24	
2436	 111	 29	
163	 112	 25	
911	 112	 26	
5750	 114	 27	
8098	 114	 34	
460	 114	 26	
4830	 114	 23	
6529	 115	 28	
446	 116	 23	
1594	 116	 30	
5808	 116	 24	
2518	 116	 23	
7190	 116	 28	
6181	 117	 21	
8419	 117	 26	
6437	 117	 23	
8063	 117	 32	
6848	 117	 27	
3240	 117	 26	
2514	 117	 30	
26	 117	 30	
481	 118	 39	
6081	 118	 33	
5463	 119	 33	
4441	 119	 35	
8797	 119	 26	
6454	 119	 34	
6209	 120	 28	
201	 120	 26	
254	 120	 32	
5104	 120	 29	
3242	 122	 36	
4018	 122	 24	
7278	 122	 25	
909	 122	 24	
5049	 123	 18	
4014	 123	 25	
1235	 123	 28	
7226	 123	 27	
196	 123	 31	
5456	 124	 35	
4898	 124	 19	
2911	 124	 34	
5322	 125	 29	
3830	 125	 24	
1624	 125	 38	
1334	 126	 33	
2136	 127	 56	
6836	 127	 34	
2002	 128	 23	
307	 129	 31	
4788	 130	 23	
7067	 130	 36	
8747	 131	 36	
5390	 133	 38	
118	 134	 45	
6367	 135	 38	
8095	 135	 32	
2893	 137	 33	
8108	 139	 35	
3857	 141	 35	
8629	 143	 30	
3436	 144	 33	
8425	 145	 31	
7264	 147	 27	
233	 149	 40	
8770	 150	 33	
374	 151	 25	
8838	 152	 43	
6019	 153	 25	
7505	 155	 41	
4406	 160	 44	
1743	 160	 53	
1867	 163	 29 (sounds female)
7402	 168	 51	
8226	 185	 36	
4267	 187	 49	
